Instance,abstractMethods_max,abstractMethods_mean,defaultMethods_sum,anonymousClassesQty_sum,cbo_max,cbo_sum,comparisonsQty_max,defaultMethods_max,cbo_mean,Label
grpc-grpc-java_1.18.0,10,10,6,176,146,4378,87,2,146,cosine
grpc-grpc-java_1.18.0,10,12,6,176,146,4378,87,2,113,cosine
grpc-grpc-java_1.18.0,12,10,6,176,113,4378,137,0,146,cosine
grpc-grpc-java_1.18.0,12,12,6,176,113,4378,137,0,113,cosine
grpc-grpc-java_1.18.0,12,10,6,176,113,4378,137,0,146,cosine
grpc-grpc-java_1.18.0,12,12,6,176,113,4378,137,0,113,cosine
grpc-grpc-java_1.18.0,10,10,0,1120,146,13187,87,2,146,cosine
grpc-grpc-java_1.18.0,10,12,0,1120,146,13187,87,2,113,cosine
grpc-grpc-java_1.18.0,10,10,0,1120,146,13187,87,2,146,cosine
grpc-grpc-java_1.18.0,10,12,0,1120,146,13187,87,2,113,cosine
grpc-grpc-java_1.18.0,12,10,0,1120,113,13187,137,0,146,cosine
grpc-grpc-java_1.18.0,12,12,0,1120,113,13187,137,0,113,cosine
grpc-grpc-java_1.18.0,12,10,0,1120,113,13187,137,0,146,cosine
grpc-grpc-java_1.18.0,12,12,0,1120,113,13187,137,0,113,cosine
grpc-grpc-java_1.19.0,12,12,0,1171,113,13576,137,0,113,cosine
grpc-grpc-java_1.20.0,12,12,0,958,107,9755,36,0,107,cosine
grpc-grpc-java_1.21.0,11,11,0,987,111,10027,36,0,111,l2
grpc-grpc-java_1.21.1,11,11,0,988,111,10041,36,0,111,euclidean
grpc-grpc-java_1.22.0,11,11,0,1043,117,10295,36,0,117,euclidean
grpc-grpc-java_1.22.1,11,11,0,1043,117,10295,36,0,117,euclidean
grpc-grpc-java_1.22.2,11,11,0,1044,117,10309,36,0,117,l2
java-native-accessjna_4.3.0,4,4,0,310,119,6518,40,0,119,euclidean
java-native-accessjna_4.4.0,4,4,0,310,119,6518,40,0,119,euclidean
java-native-accessjna_4.4.0,4,3,0,310,119,6518,40,0,76,euclidean
java-native-accessjna_4.4.0,4,4,0,310,119,6518,40,0,119,euclidean
java-native-accessjna_4.4.0,4,3,0,310,119,6518,40,0,76,euclidean
java-native-accessjna_4.4.0,3,4,0,310,76,6518,86,0,119,euclidean
java-native-accessjna_4.4.0,3,3,0,310,76,6518,86,0,76,euclidean
